Sample_ID,Protein identifier,Contig id,Start,Stop,Strand,Gene symbol,Sequence name,Scope,Element type,Element subtype,Class,Subclass,Method,Target length,Reference sequence length,% Coverage of reference sequence,% Identity to reference sequence,Alignment length,Accession of closest sequence,Name of closest sequence,HMM id,HMM description
HUM0324_S20_R1_001amrf_output,NA,NODE_23439_length_1150_cov_16.578082,2,1063,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,354,406,87.19,99.15,354,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0324_S20_R1_001amrf_output,NA,NODE_2417_length_5520_cov_30.656176,60,551,-,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0324_S20_R1_001amrf_output,NA,NODE_24301_length_1122_cov_30.182755,42,1121,-,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,360,639,56.34,99.72,360,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0324_S20_R1_001amrf_output,NA,NODE_2482_length_5397_cov_119.951703,721,1683,-,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,EXACTX,321,321,100,100,321,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUM0324_S20_R1_001amrf_output,NA,NODE_25241_length_1094_cov_10.167469,3,1031,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,343,639,53.68,100,343,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0324_S20_R1_001amrf_output,NA,NODE_3761_length_4021_cov_426.657590,247,2169,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,641,641,100,97.35,641,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0324_S20_R1_001amrf_output,NA,NODE_5646_length_3019_cov_4.997638,131,601,-,dfrA14,trimethoprim-resistant dihydrofolate reductase DfrA14,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,157,157,100,100,157,WP_021529707.1,trimethoprim-resistant dihydrofolate reductase DfrA14,NA,NA
HUM0324_S20_R1_001amrf_output,NA,NODE_5646_length_3019_cov_4.997638,622,1173,-,aph(3'')-Ib,aminoglycoside O-phosphotransferase APH(3'')-Ib,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIALX,184,275,66.91,100,184,WP_109545041.1,aminoglycoside O-phosphotransferase APH(3'')-Ib,NA,NA
HUM0324_S20_R1_001amrf_output,NA,NODE_5646_length_3019_cov_4.997638,1213,2025,-,sul2,sulfonamide-resistant dihydropteroate synthase Sul2,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,271,271,100,100,271,WP_001043260.1,sulfonamide-resistant dihydropteroate synthase Sul2,NA,NA
HUM0324_S20_R1_001amrf_output,NA,NODE_5750_length_2983_cov_6.164617,204,1037,+,aph(6)-Id,aminoglycoside O-phosphotransferase APH(6)-Id,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,278,278,100,100,278,WP_000480968.1,aminoglycoside O-phosphotransferase APH(6)-Id,NA,NA
HUM0324_S20_R1_001amrf_output,NA,NODE_8444_length_2276_cov_82.181000,352,2268,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0329_S27_R1_001amrf_output,NA,NODE_12600_length_1577_cov_272.112352,1,1575,+,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,525,641,81.9,97.52,525,WP_002560998.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0329_S27_R1_001amrf_output,NA,NODE_1280_length_8846_cov_8.647822,3377,4228,+,blaACI,ACI family class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,BLASTX,284,284,100,99.65,284,WP_006555379.1,extended-spectrum class A beta-lactamase ACI-1,NA,NA
HUM0329_S27_R1_001amrf_output,NA,NODE_16172_length_1293_cov_5.902262,1,1077,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,359,406,88.42,98.61,359,WP_009247026.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0329_S27_R1_001amrf_output,NA,NODE_18384_length_1168_cov_4.274034,1,1167,-,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,389,639,60.88,99.74,389,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0329_S27_R1_001amrf_output,NA,NODE_18547_length_1159_cov_81.076993,13,975,+,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,EXACTX,321,321,100,100,321,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUM0329_S27_R1_001amrf_output,NA,NODE_21355_length_1035_cov_188.610204,59,1018,+,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.38,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUM0329_S27_R1_001amrf_output,NA,NODE_21953_length_1013_cov_41.840292,3,992,-,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,330,639,51.64,99.7,330,WP_000691743.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUM0329_S27_R1_001amrf_output,NA,NODE_23536_length_960_cov_3.288398,3,398,+,qnrS,QnrS family quinolone resistance pentapeptide repeat protein,core,AMR,AMR,QUINOLONE,QUINOLONE,PARTIAL_CONTIG_ENDX,132,218,60.55,100,132,WP_001516695.1,quinolone resistance pentapeptide repeat protein QnrS1,NA,NA
HUM0329_S27_R1_001amrf_output,NA,NODE_27625_length_847_cov_1.935606,2,802,-,blaTEM,TEM family class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,267,286,93.36,100,267,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
HUM0329_S27_R1_001amrf_output,NA,NODE_41080_length_626_cov_2.005254,181,624,-,aadE,aminoglycoside 6-adenylyltransferase AadE,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,PARTIAL_CONTIG_ENDX,148,288,51.39,98.65,148,WP_001255868.1,aminoglycoside 6-adenylyltransferase AadE,NA,NA
HUM0329_S27_R1_001amrf_output,NA,NODE_42246_length_613_cov_3.894265,1,540,+,cepA,CepA family extended-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,CEPHALOSPORIN,PARTIAL_CONTIG_ENDX,180,300,60,100,180,WP_005816369.1,CepA family extended-spectrum class A beta-lactamase,NA,NA
HUM0329_S27_R1_001amrf_output,NA,NODE_5306_length_3208_cov_8.882969,896,2818,+,tet(S),tetracycline resistance ribosomal protection protein Tet(S),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,641,641,100,100,641,WP_000691722.1,tetracycline resistance ribosomal protection protein Tet(S),NA,NA
HUM0329_S27_R1_001amrf_output,NA,NODE_5408_length_3161_cov_7.467482,2611,3102,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0329_S27_R1_001amrf_output,NA,NODE_5847_length_2965_cov_27.212715,250,2166,-,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.84,639,WP_012669445.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0329_S27_R1_001amrf_output,NA,NODE_8940_length_2084_cov_100.222277,2,1798,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,599,639,93.74,100,599,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_10701_length_2227_cov_69.389042,42,1958,-,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.69,639,WP_012669445.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_108679_length_494_cov_5.328018,1,492,+,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,PARTIAL_CONTIG_ENDX,164,321,51.09,100,164,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_12687_length_1998_cov_16.211014,983,1942,-,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.38,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_14970_length_1799_cov_152.066514,1,1758,+,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,586,639,91.71,100,586,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_14976_length_1799_cov_6.334289,454,1311,+,blaTEM,TEM family class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,286,286,100,99.65,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_15749_length_1740_cov_6.200000,332,1528,-,tet(A),tetracycline efflux MFS transporter Tet(A),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,399,399,100,100,399,WP_000804064.1,tetracycline efflux MFS transporter Tet(A),NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_16558_length_1681_cov_5.531365,3,959,-,tetA(P),tetracycline efflux MFS transporter TetA(P),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,319,420,75.95,100,319,WP_006440994.1,tetracycline efflux MFS transporter TetA(P),NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_18242_length_1577_cov_134.864652,3,1577,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,525,641,81.9,99.24,525,WP_002560998.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_26814_length_1226_cov_19.501281,2,1063,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,354,406,87.19,100,354,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_3386_length_4736_cov_10.548814,2946,3809,+,aadE,aminoglycoside 6-adenylyltransferase AadE,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,288,288,100,100,288,WP_001255868.1,aminoglycoside 6-adenylyltransferase AadE,NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_35113_length_1030_cov_16.416410,431,922,-,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_4982_length_3677_cov_7.721425,253,2169,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.06,639,WP_063856112.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_5632_length_3400_cov_5.904634,1,315,+,dfrA1,trimethoprim-resistant dihydrofolate reductase DfrA1,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,PARTIAL_CONTIG_ENDX,105,157,66.88,100,105,WP_000777555.1,trimethoprim-resistant dihydrofolate reductase DfrA1,NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_5632_length_3400_cov_5.904634,411,1199,+,aadA1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,core,AMR,AMR,AMINOGLYCOSIDE,STREPTOMYCIN,EXACTX,263,263,100,100,263,WP_001206317.1,ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1,NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_5632_length_3400_cov_5.904634,1366,1710,+,qacEdelta1,quaternary ammonium compound efflux SMR transporter QacE delta 1,core,STRESS,BIOCIDE,QUATERNARY AMMONIUM,QUATERNARY AMMONIUM,ALLELEX,115,115,100,100,115,WP_000679427.1,quaternary ammonium compound efflux SMR transporter QacE delta 1,NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_5632_length_3400_cov_5.904634,1707,2543,+,sul1,sulfonamide-resistant dihydropteroate synthase Sul1,core,AMR,AMR,SULFONAMIDE,SULFONAMIDE,EXACTX,279,279,100,100,279,WP_000259031.1,sulfonamide-resistant dihydropteroate synthase Sul1,NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_6030_length_3263_cov_75.881546,3,1802,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,600,639,93.9,100,600,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0444_S50_R1_001_amrf_output,NA,NODE_9479_length_2403_cov_4.974020,968,2401,-,tetB(P),tetracycline resistance ribosomal protection protein TetB(P),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,478,652,73.31,98.12,478,WP_012478245.1,tetracycline resistance ribosomal protection protein TetB(P),NA,NA
HUM0493_S42_R1_001_amrf_output,NA,NODE_12470_length_1668_cov_254.331680,1,1668,+,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,556,641,86.74,99.1,556,WP_002560998.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0493_S42_R1_001_amrf_output,NA,NODE_13844_length_1558_cov_4.274784,3,1385,-,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,461,639,72.14,99.35,461,WP_050232631.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUM0493_S42_R1_001_amrf_output,NA,NODE_14861_length_1484_cov_62.979706,266,1483,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,406,639,63.54,99.51,406,WP_012669445.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0493_S42_R1_001_amrf_output,NA,NODE_19650_length_1226_cov_15.893254,164,1225,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,354,406,87.19,99.44,354,WP_015573055.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0493_S42_R1_001_amrf_output,NA,NODE_20425_length_1194_cov_29.798068,40,999,-,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.69,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUM0493_S42_R1_001_amrf_output,NA,NODE_20548_length_1189_cov_23.768959,3,1160,-,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,386,639,60.41,100,386,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0493_S42_R1_001_amrf_output,NA,NODE_35_length_74010_cov_47.970550,3418,3909,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0493_S42_R1_001_amrf_output,NA,NODE_566_length_12101_cov_70.203138,8239,9201,-,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,321,321,100,99.69,321,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUM0493_S42_R1_001_amrf_output,NA,NODE_9946_length_1938_cov_24.889007,9,1925,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0495_S7_R1_001amrf_output,NA,NODE_10499_length_2223_cov_52.853321,42,1958,-,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.69,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0495_S7_R1_001amrf_output,NA,NODE_12305_length_2003_cov_47.398871,9,1925,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0495_S7_R1_001amrf_output,NA,NODE_1619_length_8749_cov_8.809179,2960,4876,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,98.75,639,WP_063856112.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUM0495_S7_R1_001amrf_output,NA,NODE_16313_length_1668_cov_119.587725,1,1668,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,556,641,86.74,98.56,556,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0495_S7_R1_001amrf_output,NA,NODE_21905_length_1382_cov_61.578749,384,1343,+,cfxA6,broad-spectrum class A beta-lactamase CfxA6,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,320,320,100,99.06,320,WP_117664257.1,broad-spectrum class A beta-lactamase CfxA6,NA,NA
HUM0495_S7_R1_001amrf_output,NA,NODE_25931_length_1240_cov_18.994937,1,1077,+,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,359,406,88.42,99.16,359,WP_024407615.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0495_S7_R1_001amrf_output,NA,NODE_5415_length_3554_cov_11.022292,2168,2659,-,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,EXACTX,164,164,100,100,164,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0495_S7_R1_001amrf_output,NA,NODE_608_length_17102_cov_15.964627,3382,4344,+,cfxA,CfxA family broad-spectrum class A beta-lactamase,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,BLASTX,321,321,100,99.69,321,WP_004339683.1,CfxA family broad-spectrum class A beta-lactamase,NA,NA
HUM0495_S7_R1_001amrf_output,NA,NODE_6272_length_3194_cov_21.577891,1197,3113,-,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,EXACTX,639,639,100,100,639,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0579_S34_R1_001amrf_output,NA,NODE_1291_length_6855_cov_5.102353,6054,6599,-,aac(6')-I,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,BLASTX,182,182,100,99.45,182,WP_010720790.1,aminoglycoside N-acetyltransferase AAC(6')-Iid,NA,NA
HUM0579_S34_R1_001amrf_output,NA,NODE_14920_length_1601_cov_22.181113,1,1578,-,tet(Q),tetracycline resistance ribosomal protection protein Tet(Q),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,526,641,82.06,98.67,526,WP_063856407.1,tetracycline resistance ribosomal protection protein Tet(Q),NA,NA
HUM0579_S34_R1_001amrf_output,NA,NODE_21955_length_1272_cov_23.738702,3,1271,+,tet(32),tetracycline resistance ribosomal protection protein Tet(32),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,423,639,66.2,99.05,423,WP_002602099.1,tetracycline resistance ribosomal protection protein Tet(32),NA,NA
HUM0579_S34_R1_001amrf_output,NA,NODE_27303_length_1121_cov_96.196998,3,1121,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,373,639,58.37,100,373,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0579_S34_R1_001amrf_output,NA,NODE_28843_length_1086_cov_3.567410,3,1085,-,tetB(P),tetracycline resistance ribosomal protection protein TetB(P),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,361,652,55.37,97.51,361,WP_012478245.1,tetracycline resistance ribosomal protection protein TetB(P),NA,NA
HUM0579_S34_R1_001amrf_output,NA,NODE_3272_length_4017_cov_9.498738,1114,2193,-,tet(40),tetracycline efflux MFS transporter Tet(40),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIALX,360,406,88.67,98.89,360,WP_024407615.1,tetracycline efflux MFS transporter Tet(40),NA,NA
HUM0579_S34_R1_001amrf_output,NA,NODE_7004_length_2535_cov_22.711694,311,2227,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.84,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0579_S34_R1_001amrf_output,NA,NODE_87330_length_571_cov_3.001938,3,440,+,dfrF,trimethoprim-resistant dihydrofolate reductase DfrF,core,AMR,AMR,TRIMETHOPRIM,TRIMETHOPRIM,PARTIAL_CONTIG_ENDX,146,164,89.02,100,146,WP_002322211.1,trimethoprim-resistant dihydrofolate reductase DfrF,NA,NA
HUM0582_S39_R1_001amrf_output,NA,NODE_11294_length_2227_cov_33.452118,270,2186,+,tet(O),tetracycline resistance ribosomal protection protein Tet(O),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,639,639,100,99.53,639,WP_063856405.1,tetracycline resistance ribosomal protection protein Tet(O),NA,NA
HUM0582_S39_R1_001amrf_output,NA,NODE_14999_length_1820_cov_2.048725,2,1633,+,tet(M),tetracycline resistance ribosomal protection protein Tet(M),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,PARTIAL_CONTIG_ENDX,544,639,85.13,99.45,544,WP_063856393.1,tetracycline resistance ribosomal protection protein Tet(M),NA,NA
HUM0582_S39_R1_001amrf_output,NA,NODE_15622_length_1766_cov_72.794857,9,1766,-,tet(W),tetracycline resistance ribosomal protection protein Tet(W),core,AMR,AMR,TETRACYCLINE,TETRACYCLINE,BLASTX,586,639,91.71,99.83,586,WP_002586627.1,tetracycline resistance ribosomal protection protein Tet(W),NA,NA
HUM0582_S39_R1_001amrf_output,NA,NODE_16523_length_1697_cov_4.345920,261,1118,-,blaTEM-1,broad-spectrum class A beta-lactamase TEM-1,core,AMR,AMR,BETA-LACTAM,BETA-LACTAM,ALLELEX,286,286,100,100,286,WP_000027057.1,broad-spectrum class A beta-lactamase TEM-1,NA,NA
